,TimeStamp,Title,Years of Experiences ,Salary,Date of Salary,What Is your Company,Work Type,Work Hour,City of Company site
1252,2024-02-28 09:30:04.529000,DevOps Engineer ,1,17000,2024-02-28 00:00:00,Egyption,Remotley,Full Time,Cairo 
1253,2024-02-28 09:39:18.240000,Siebel CRM developer ,1,14500,2024-02-29 00:00:00,Egyption,On Site,Full Time,Cairo
1254,2024-02-28 09:54:10.444000,Wordpress developer,4,14000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
1255,2024-02-28 10:16:11.857000,Unity Game Developer ,3,0,2024-02-28 00:00:00,Freelancer,Remotley,Full Time,
1260,2024-02-28 12:14:12.715000,laravel developer,2,8000,2024-02-28 00:00:00,Egyption,On Site,Full Time,cairo
1261,2024-02-28 13:33:03.314000,Full Stack Node Angular,2,16000,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1262,2024-02-28 14:04:15.183000,Backend Developer,1,12000,2024-03-01 00:00:00,Egyption,Remotley,Full Time,
1263,2024-02-28 15:32:19.914000,Data Engineer intern,6 months,12000,2024-02-28 00:00:00,An Egyptian company acquired by a Saudi company,Hybird,Full Time,Cairo
1264,2024-02-28 16:16:43.693000,Full stack .Net and react developer,Less than a year,8000,2024-01-30 00:00:00,Outsourcing to europian company,Hybird,Part Time,Cairo
1265,2024-02-28 17:55:43.554000,Software Development team leader,7,80000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
1271,2024-02-28 23:57:47.306000,Software support engineer ,3,8000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
1272,2024-02-29 00:25:56.935000,Software QA,1,20000,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Giza
1273,2024-02-29 01:35:20.698000,Embedded software engineer ,2,40000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1274,2024-02-29 03:23:52.329000,Senior Android-Flutter,7,40000,2023-12-06 00:00:00,Egyption,Remotley,Full Time,"Egypt, dubai"
1276,2024-02-29 07:55:42.769000,Business developer ,Fresh,5000,2023-08-01 00:00:00,Egyption,On Site,Full Time,Cairo
1277,2024-02-29 08:13:17.280000,Teaching assistant ,4,6500,2024-02-29 00:00:00,Egyption,Hybird,Full Time,Giza
1279,2024-02-29 08:29:04.255000,Senior dot net developer ,4,30000,2024-01-21 00:00:00,Egyption,Hybird,Full Time,Cairo 
1280,2024-02-29 08:59:29.731000,Android Developer ,4,20000,2024-02-29 00:00:00,Egyption,Hybird,Full Time,
1281,2024-02-29 10:03:40.157000,.NET developer,1,16000,2024-02-28 00:00:00,Egyption,On Site,Full Time,Cairo
1282,2024-02-29 10:55:26.650000,Front-End Developer ,1,8000,2023-10-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1284,2024-02-29 11:26:08.596000,Principal Dotnet Developer ,6.5,37500,2023-08-01 00:00:00,Egyption,On Site,Full Time,Alexandria
1286,2024-02-29 11:59:23.027000,Associate SW Development Consultant,6 month,16k,2023-08-15 00:00:00,Egyption,Hybird,Full Time,cairo
1288,2024-02-29 15:24:40.210000,.NET Developer,1.5,27000,2024-02-26 00:00:00,Egyption,Hybird,Full Time,Cairo
1289,2024-02-29 15:25:33.247000,Frontend developer,1.5,22000,2024-02-28 00:00:00,Egyption,Hybird,Full Time,Cairo
1291,2024-02-29 18:30:30.595000,Full stack developer using .Net,1,12000,2024-02-29 00:00:00,Egyption,Remotley,Full Time,Cairo
1292,2024-02-29 20:14:18.007000,Business Intelligence Developer,1,20000,2023-07-04 00:00:00,Egyption,Hybird,Full Time,Cairo
1293,2024-02-29 22:48:52.968000,Junior softwrae Engineer,1.5,18000,2024-01-01 00:00:00,Egyption,1 remote 4 on site,Full Time,Cairo
1295,2024-03-01 00:43:49.474000,Sales account manager ,1,5000,2024-02-05 00:00:00,Egyption,On Site,Full Time,Cairo
1296,2024-03-01 01:12:33.532000,HR specialist ,1,7000,2024-03-01 00:00:00,Egyption,On Site,Full Time,El Alamieen
1297,2024-03-01 01:32:34.553000,.Net developer,3,30000,2024-02-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1299,2024-03-01 10:10:25.427000,Internal control ,3 months ,10000,2024-02-22 00:00:00,Egyption,On Site,Full Time,Cairo
1300,2024-03-01 10:10:16.677000,Data  analysis and it support,18,20000,2024-03-25 00:00:00,Egyption,All,Full Time,Cairo
1303,2024-03-01 13:15:03.379000,I'm sorry.(I'm saas) account manager.and.salaries,2,Salaries Egyptian ,2022-10-20 00:00:00,Business free,On Site,Part Time,Amazon 
1304,2024-03-01 13:19:08.449000,Beginner ,3,15000,2024-02-01 00:00:00,Egyption,On Site,Full Time,
1305,2024-03-01 13:44:42.856000,Quality control and automation engineer ,2,22400,2024-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1306,2024-03-01 13:52:33.996000,Call center agent ,1,3645,2024-03-05 00:00:00,Egyption,On Site,Full Time,Cairo 
1307,2024-03-01 15:12:16.798000,Product specialist ,1,6000,2024-03-01 00:00:00,Egyption,Hybird,Full Time,"Cairo, New Nozha"
1308,2024-03-01 17:02:36.856000,Fluuter developer,1,14000,2023-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1309,2024-03-01 19:00:29.639000,Data analyst and operation executive ,3,10,2024-03-01 00:00:00,Egyption,On Site,Full Time,Cairo
1311,2024-03-01 23:06:09.447000,Senior Application Support Engineer,5.5,27000,2024-01-01 00:00:00,Egyption,Hybird,Full Time,"Cairo, Smart village "
1313,2024-03-02 00:39:03.740000,DevOps Engineer,1,25000,2024-03-02 00:00:00,Egyption,Hybird,Full Time,Cairo
1314,2024-03-02 03:10:25.496000,Frontend Developer | React Developer ,1.5,18000,2023-09-01 00:00:00,Egyption,Hybird,Full Time,Cairo 
1315,2024-03-02 06:39:49.270000,director of preventive medicine ,23,7500,2024-03-02 00:00:00,Egyption,On Site,Full Time,cairo
1316,2024-03-02 10:10:48.801000,Mobile developer Android and iOS ,2,30000,2024-03-03 00:00:00,Egyption,Hybird,Full Time,Alexanderia 
1317,2024-03-06 22:20:45.895000,Junior Data Scientist,1,32000,2024-02-20 00:00:00,Egyption,Hybird,Full Time,Giza
1318,2024-03-06 22:42:58.123000,Font End Developer (Angular),1,25,2024-03-06 00:00:00,Egyption,Remotley,Full Time,Cairo
1320,2024-03-07 09:28:45.169000,Java developer ,5,55000,2024-03-07 00:00:00,Egyption,Hybird,Full Time,Cairo 
1321,2024-03-07 09:30:52.869000,java developer,1,15k,2024-03-01 00:00:00,Egyption,Hybird,Full Time,Cairo
1323,2024-03-07 10:04:23.532000,Software developer ,4,45K,2024-02-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1324,2024-03-07 12:25:44.049000,Embedded SW Engineer ,0,10k,2024-03-01 00:00:00,Egyption,On Site,Full Time,cairo
1325,2024-03-07 12:52:53.200000,Php developer ,1,10000,2024-03-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1329,2024-03-08 19:01:07.101000,Seniors interior design,7,19000,2024-01-01 00:00:00,Egyption,Remotley,Full Time,Cairo
1330,10:10:49 ص 2024/03/02,DevOps Engineer,1,29000,2024-03-03 00:00:00,Egyption,Hybird,Full Time,cairo
